City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Quatre Cocos,MU,-20.2078,57.7625,70.09,68,58,22.46,broken clouds
1,Fershampenuaz,RU,53.5202,59.8117,70.47,63,74,4.85,broken clouds
2,Bluff,NZ,-46.6,168.3333,44.8,66,99,9.8,overcast clouds
3,Hobart,AU,-42.8794,147.3294,44.46,76,100,9.22,overcast clouds
4,Atuona,PF,-9.8,-139.0333,77.27,77,41,22.41,light rain
5,Butaritari,KI,3.0707,172.7902,81.18,79,98,14.61,light rain
6,Borovichi,RU,58.3878,33.9155,70.84,44,48,4.23,scattered clouds
7,Punta Arenas,CL,-53.15,-70.9167,42.91,81,0,14.97,clear sky
8,Tuktoyaktuk,CA,69.4541,-133.0374,41.23,94,100,17.18,light rain
9,Katsuura,JP,35.1333,140.3,80.13,90,97,13.98,overcast clouds
10,Mataura,NZ,-46.1927,168.8643,44.47,94,98,1.79,overcast clouds
11,Rikitea,PF,-23.1203,-134.9692,73.04,79,99,22.19,light rain
12,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,59,37,6.22,scattered clouds
13,Victoria,HK,22.2855,114.1577,81.32,91,100,8.99,light rain
14,Jiuquan,CN,39.7432,98.5174,83.25,43,6,8.1,clear sky
15,Pevek,RU,69.7008,170.3133,33.73,96,61,0.49,broken clouds
16,Mae Ramat,TH,16.984,98.5166,78.8,99,100,2.62,overcast clouds
17,Busselton,AU,-33.65,115.3333,49.73,86,1,6.6,clear sky
18,Sorong,ID,-0.8833,131.25,78.89,85,88,4.5,overcast clouds
19,Jacareacanga,BR,-6.2222,-57.7528,93.4,41,8,3.94,clear sky
20,East London,ZA,-33.0153,27.9116,66.52,70,84,11.5,broken clouds
21,Broome,US,42.2506,-75.833,74.01,71,100,6.91,overcast clouds
22,Albany,US,42.6001,-73.9662,73.67,73,60,5.75,broken clouds
23,Egvekinot,RU,66.3167,-179.1667,51.37,87,51,0.72,broken clouds
24,Meadow Lake,US,34.8014,-106.5436,77.68,66,11,2.1,few clouds
25,Kawalu,ID,-7.3817,108.2082,72.28,97,82,0.94,broken clouds
26,Alofi,NU,-19.0595,-169.9187,76.14,78,9,17.54,clear sky
27,Barrow,US,71.2906,-156.7887,44.62,93,100,13.8,light rain
28,Esperance,AU,-33.8667,121.9,51.64,69,93,22.95,overcast clouds
29,Vaini,TO,-21.2,-175.2,77.16,94,40,10.36,scattered clouds
30,Bilma,NE,18.6853,12.9164,107.89,13,74,8.41,broken clouds
31,Hermanus,ZA,-34.4187,19.2345,59.81,88,100,10.45,light rain
32,Oranjestad,AW,12.524,-70.027,80.98,86,100,20.4,overcast clouds
33,Port-Cartier,CA,50.0334,-66.8654,63.75,60,0,6.98,clear sky
34,Port Alfred,ZA,-33.5906,26.891,61.18,83,75,4.0,broken clouds
35,Port Angeles,US,48.1181,-123.4307,63.32,89,40,9.22,scattered clouds
36,Bredasdorp,ZA,-34.5322,20.0403,55.74,91,100,7.9,light rain
37,Nigran,ES,42.1415,-8.8066,81.37,82,0,9.22,clear sky
38,Satinka,RU,52.3792,41.6819,84.27,34,100,8.95,overcast clouds
39,Faanui,PF,-16.4833,-151.75,75.43,74,0,3.29,light rain
40,Kupang,ID,-10.1667,123.5833,75.54,82,94,5.64,overcast clouds
41,New Norfolk,AU,-42.7826,147.0587,44.1,75,100,3.2,overcast clouds
42,Rayachoti,IN,14.05,78.75,82.13,59,93,9.19,overcast clouds
43,Severo-Kurilsk,RU,50.6789,156.125,54.59,96,95,12.3,overcast clouds
44,Seymchan,RU,62.8833,152.4333,59.16,68,100,0.94,overcast clouds
45,Huilong,CN,31.8111,121.655,84.16,82,100,10.96,overcast clouds
46,Clyde River,CA,70.4692,-68.5914,44.37,62,31,1.54,scattered clouds
47,Belaya Gora,RU,68.5333,146.4167,58.57,60,1,7.49,clear sky
48,Nkpor,NG,6.1516,6.8446,79.61,80,96,7.38,light rain
49,Lazaro Cardenas,MX,17.9583,-102.2,80.26,83,100,4.38,overcast clouds
50,Fortuna,US,40.5982,-124.1573,57.92,96,0,6.91,clear sky
51,Ushuaia,AR,-54.8,-68.3,42.46,81,0,2.3,clear sky
52,Torbay,CA,47.6666,-52.7314,58.57,88,100,20.0,overcast clouds
53,Lorengau,PG,-2.0226,147.2712,80.17,84,100,7.9,overcast clouds
54,Nikolskoye,RU,59.7035,30.7861,74.88,43,8,4.85,clear sky
55,Carnarvon,AU,-24.8667,113.6333,61.56,47,0,17.13,clear sky
56,Idenao,CM,4.2475,9.0047,76.14,93,97,5.46,light rain
57,Mathathane,BW,-22.2687,28.7495,77.0,29,0,5.91,clear sky
58,Aykhal,RU,66.0,111.5,58.53,84,100,8.84,overcast clouds
59,Pangkalanbuun,ID,-2.6833,111.6167,75.49,96,98,1.88,overcast clouds
60,Avarua,CK,-21.2078,-159.775,69.85,83,40,3.44,scattered clouds
61,Saint-Philippe,RE,-21.3585,55.7679,69.39,76,63,17.09,broken clouds
62,Mbouda,CM,5.6258,10.2552,65.44,96,100,3.36,moderate rain
63,Samarai,PG,-10.6167,150.6667,78.03,78,98,16.53,overcast clouds
64,Cape Town,ZA,-33.9258,18.4232,61.11,90,75,16.11,broken clouds
65,Sitka,US,57.0531,-135.33,55.29,82,100,0.0,overcast clouds
66,Sangar,RU,63.9242,127.4739,55.47,86,0,5.03,clear sky
67,Fort Nelson,CA,58.8053,-122.7002,62.31,58,60,1.77,broken clouds
68,San Juan,AR,-31.5375,-68.5364,55.36,31,57,3.74,broken clouds
69,Isangel,VU,-19.55,169.2667,69.75,58,61,14.25,broken clouds
70,Puerto Del Rosario,ES,28.5004,-13.8627,78.55,65,20,18.41,few clouds
71,Noumea,NC,-22.2763,166.4572,70.0,99,13,10.22,few clouds
72,Ribeira Grande,PT,38.5167,-28.7,75.6,78,20,4.61,few clouds
